Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	
1	0.0116259	6.75381e-06	0.0116192	0	1.44769e+06	841	1.44685e+06	0	
2	0.0126372	5.42874e-06	0.0126317	0	1.57361e+06	676	1.57294e+06	0	
3	0.0475621	0.000117577	0.0474445	0	5.92255e+06	14641	5.9079e+06	0	
4	0.0114582	4.62567e-06	0.0114535	0	1.4268e+06	576	1.42622e+06	0	
5	0.0121256	5.85437e-06	0.0121198	0	1.50991e+06	729	1.50918e+06	0	
6	0.0216074	1.77397e-05	0.0215896	0	2.6906e+06	2209	2.68839e+06	0	
7	0.0110425	5.85437e-06	0.0110366	0	1.37503e+06	729	1.37431e+06	0	
8	0.0285559	3.60497e-05	0.0285198	0	3.55584e+06	4489	3.55135e+06	0	
9	0.014455	9.83759e-06	0.0144452	0	1.79997e+06	1225	1.79875e+06	0	
10	0.0279612	3.82341e-05	0.027923	0	3.4818e+06	4761	3.47703e+06	0	
11	0.0391253	8.03068e-05	0.039045	0	4.87198e+06	10000	4.86198e+06	0	
12	0.00647603	9.28347e-06	0.00646675	0	806410	1156	805254	0	
13	0.0528227	0.000152936	0.0526697	0	6.5776e+06	19044	6.55856e+06	0	
14	0.00445231	4.24823e-06	0.00444807	0	554413	529	553884	0	
15	0.0287087	4.88587e-05	0.0286598	0	3.57487e+06	6084	3.56879e+06	0	
16	0.0180521	6.50485e-05	0.0179871	0	2.24789e+06	8100	2.23979e+06	0	
17	0.0418189	0.000324447	0.0414944	0	5.20738e+06	40401	5.16698e+06	0	
18	0.0232401	3.49816e-05	0.0232051	0	2.89391e+06	4356	2.88955e+06	0	
19	0.0212061	2.79548e-05	0.0211781	0	2.64063e+06	3481	2.63715e+06	0	
20	0.00603337	6.29606e-06	0.00602707	0	751289	784	750505	0	
21	0.0144649	3.28937e-05	0.014432	0	1.80121e+06	4096	1.79711e+06	0	
22	0.00516066	4.62567e-06	0.00515604	0	642618	576	642042	0	
23	0.0056373	5.42874e-06	0.00563187	0	701970	676	701294	0	
24	0.00698004	8.74542e-06	0.00697129	0	869170	1089	868081	0	
25	0.0286841	0.000139926	0.0285442	0	3.57181e+06	17424	3.55439e+06	0	
