Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	
1	0.0447444	3.89906e-05	0.0447054	6.70218e-08	3.99468e+06	3481	3.9912e+06	5.98355	
2	0.112139	0.000225857	0.111913	6.53637e-08	1.00115e+07	20164	9.9914e+06	5.83552	
3	0.0365779	2.37013e-05	0.0365542	6.64337e-08	3.26559e+06	2116	3.26348e+06	5.93105	
4	0.0195557	7.00062e-06	0.0195487	6.67899e-08	1.74589e+06	625	1.74526e+06	5.96285	
5	0.0336716	2.2682e-05	0.033649	6.67323e-08	3.00613e+06	2025	3.0041e+06	5.95771	
6	0.056408	5.8066e-05	0.05635	6.64857e-08	5.03598e+06	5184	5.0308e+06	5.93569	
7	0.0704354	8.87231e-05	0.0703467	6.505e-08	6.28831e+06	7921	6.28039e+06	5.80751	
8	0.0223948	9.42004e-06	0.0223854	6.65057e-08	1.99936e+06	841	1.99852e+06	5.93748	
9	0.0193569	7.00062e-06	0.0193499	6.68884e-08	1.72814e+06	625	1.72751e+06	5.97164	
10	0.0220893	8.78158e-06	0.0220805	6.64398e-08	1.97208e+06	784	1.9713e+06	5.93159	
11	0.0907323	0.000158617	0.0905737	6.50491e-08	8.10037e+06	14161	8.08621e+06	5.80743	
12	0.0181021	5.92533e-06	0.0180962	6.6731e-08	1.61612e+06	529	1.61559e+06	5.95759	
13	0.0377233	2.58071e-05	0.0376975	6.67407e-08	3.36785e+06	2304	3.36555e+06	5.95845	
14	0.00780757	6.45177e-06	0.00780112	6.67417e-08	697042	576	696466	5.95855	
15	0.0208742	8.16553e-06	0.0208661	6.70396e-08	1.8636e+06	729	1.86288e+06	5.98514	
16	0.1338	0.000404356	0.133396	6.66644e-08	1.19454e+07	36100	1.19093e+07	5.95164	
17	0.0228243	9.42004e-06	0.0228149	6.67738e-08	2.0377e+06	841	2.03686e+06	5.96141	
18	0.0373557	2.58071e-05	0.0373299	6.70874e-08	3.33503e+06	2304	3.33273e+06	5.98941	
19	0.0289134	1.53341e-05	0.0288981	6.6861e-08	2.58132e+06	1369	2.57995e+06	5.9692	
20	0.020199	7.57187e-06	0.0201915	6.69304e-08	1.80332e+06	676	1.80265e+06	5.97539	
21	0.0217299	8.78158e-06	0.0217211	6.68919e-08	1.93999e+06	784	1.93921e+06	5.97195	
22	0.0210665	1.14698e-05	0.0210551	6.68291e-08	1.88077e+06	1024	1.87975e+06	5.96635	
23	0.0304178	2.16851e-05	0.0303961	6.59851e-08	2.71563e+06	1936	2.71369e+06	5.89099	
24	0.0930614	0.000183517	0.0928779	6.54774e-08	8.30831e+06	16384	8.29193e+06	5.84567	
25	0.136596	0.000592533	0.136003	6.73219e-08	1.21949e+07	52900	1.2142e+07	6.01035	
26	0.0200881	1.00809e-05	0.0200781	6.69257e-08	1.79342e+06	900	1.79252e+06	5.97497	
27	0.0188326	8.16553e-06	0.0188245	6.64225e-08	1.68133e+06	729	1.6806e+06	5.93005	
28	0.0284482	1.61742e-05	0.028432	6.66354e-08	2.53979e+06	1444	2.53834e+06	5.94906	
29	0.0727078	0.000158617	0.0725492	6.75255e-08	6.49119e+06	14161	6.47703e+06	6.02852	
30	0.0893624	0.000172226	0.0891902	6.69168e-08	7.97807e+06	15376	7.9627e+06	5.97418	
31	0.0284551	1.61742e-05	0.0284389	6.65725e-08	2.5404e+06	1444	2.53896e+06	5.94344	
32	0.0404613	4.03236e-05	0.040421	6.60076e-08	3.61229e+06	3600	3.60869e+06	5.89301	
33	0.019875	1.14698e-05	0.0198635	6.70855e-08	1.7744e+06	1024	1.77337e+06	5.98924	
34	1.12176	0.0243691	1.0974	6.12734e-08	1.00149e+08	2.17562e+06	9.79734e+07	5.47035	
35	0.00755994	5.92533e-06	0.00755401	6.67805e-08	674934	529	674405	5.96201	
36	0.0668639	0.000109781	0.0667541	6.63682e-08	5.96945e+06	9801	5.95965e+06	5.9252	
37	0.0238868	1.14698e-05	0.0238754	6.66572e-08	2.13256e+06	1024	2.13154e+06	5.951	
38	3.51207	0.225813	3.28625	7.04612e-08	3.13549e+08	2.01601e+07	2.93389e+08	6.29062	
39	0.18577	0.000688906	0.185081	6.70652e-08	1.65851e+07	61504	1.65236e+07	5.98743	
40	0.375742	0.00335144	0.372391	6.32173e-08	3.35454e+07	299209	3.32462e+07	5.64389	
41	0.0312859	2.07106e-05	0.0312652	6.69296e-08	2.79314e+06	1849	2.79129e+06	5.97532	
42	0.0118944	1.45165e-05	0.0118799	6.65805e-08	1.0619e+06	1296	1.06061e+06	5.94415	
43	0.0174283	7.00062e-06	0.0174213	6.68673e-08	1.55596e+06	625	1.55533e+06	5.96975	
44	0.00805636	6.4697e-05	0.00799166	6.67617e-08	719253	5776	713477	5.96033	
45	0.029533	2.16851e-05	0.0295113	6.68397e-08	2.63664e+06	1936	2.6347e+06	5.9673	
46	0.174674	0.000688906	0.173985	6.46714e-08	1.55945e+07	61504	1.5533e+07	5.77371	
47	0.01933	7.57187e-06	0.0193224	6.70927e-08	1.72574e+06	676	1.72506e+06	5.98989	
48	0.00392258	1.53341e-05	0.00390724	6.67088e-08	350199	1369	348830	5.95561	
49	0.00463995	1.53341e-05	0.00462461	6.67315e-08	414244	1369	412875	5.95763	
50	0.0440308	3.89906e-05	0.0439918	6.62036e-08	3.93097e+06	3481	3.92749e+06	5.91051	
51	0.0857469	0.000143025	0.0856038	6.72823e-08	7.65528e+06	12769	7.64251e+06	6.00681	
52	0.0501239	5.17934e-05	0.0500721	6.64742e-08	4.47495e+06	4624	4.47032e+06	5.93466	
53	0.0196938	8.16553e-06	0.0196856	6.67789e-08	1.75821e+06	729	1.75748e+06	5.96187	
54	0.343447	0.00263475	0.340813	6.27413e-08	3.06622e+07	235225	3.0427e+07	5.6014	
55	0.0763849	0.000161294	0.0762236	6.61974e-08	6.81947e+06	14400	6.80507e+06	5.90995	
56	0.017051	7.00062e-06	0.017044	6.71102e-08	1.52228e+06	625	1.52165e+06	5.99145	
57	0.023738	1.21978e-05	0.0237258	6.67681e-08	2.11928e+06	1089	2.11819e+06	5.9609	
58	0.0808487	0.00015333	0.0806954	6.7109e-08	7.21799e+06	13689	7.2043e+06	5.99134	
59	0.0179611	7.00062e-06	0.0179541	6.71572e-08	1.60353e+06	625	1.6029e+06	5.99564	
60	0.0198165	1.00809e-05	0.0198064	6.67723e-08	1.76917e+06	900	1.76827e+06	5.96127	
61	0.0581515	8.47804e-05	0.0580667	6.67128e-08	5.19163e+06	7569	5.18406e+06	5.95596	
62	0.0197758	8.16553e-06	0.0197676	6.68893e-08	1.76553e+06	729	1.7648e+06	5.97173	
63	0.691668	0.0114035	0.680265	5.92333e-08	6.17506e+07	1.01808e+06	6.07325e+07	5.28821	
64	0.0324723	2.37013e-05	0.0324486	6.72182e-08	2.89906e+06	2116	2.89694e+06	6.00108	
65	0.0332345	2.4743e-05	0.0332098	6.6502e-08	2.9671e+06	2209	2.96489e+06	5.93715	
66	0.0228604	1.14698e-05	0.022849	6.63638e-08	2.04093e+06	1024	2.0399e+06	5.92481	
67	0.0276925	1.79216e-05	0.0276746	6.63493e-08	2.47233e+06	1600	2.47073e+06	5.92351	
68	0.0332781	2.2682e-05	0.0332554	6.66368e-08	2.97099e+06	2025	2.96897e+06	5.94918	
69	0.295505	0.00194773	0.293557	6.77723e-08	2.6382e+07	173889	2.62081e+07	6.05055	
70	0.0931796	0.000180661	0.092999	6.57798e-08	8.31886e+06	16129	8.30274e+06	5.87267	
71	0.0237646	1.37212e-05	0.0237509	6.6465e-08	2.12165e+06	1225	2.12043e+06	5.93384	
72	0.0196315	8.16553e-06	0.0196234	6.70428e-08	1.75266e+06	729	1.75193e+06	5.98542	
73	0.0319299	1.29483e-05	0.031917	6.6557e-08	2.85063e+06	1156	2.84947e+06	5.94206	
74	0.0302365	1.97585e-05	0.0302168	6.67962e-08	2.69945e+06	1764	2.69768e+06	5.96341	
75	0.0550538	6.99054e-05	0.0549839	6.68026e-08	4.91508e+06	6241	4.90883e+06	5.96398	
76	0.0463581	4.87915e-05	0.0463093	6.75958e-08	4.13875e+06	4356	4.13439e+06	6.0348	
77	0.0248542	1.37212e-05	0.0248404	6.66757e-08	2.21892e+06	1225	2.2177e+06	5.95265	
78	1.00769	0.0519212	0.955771	8.12974e-08	8.99644e+07	4.6354e+06	8.5329e+07	7.25804	
79	0.0334345	6.64107e-05	0.0333681	6.64673e-08	2.98496e+06	5929	2.97903e+06	5.93405	
80	0.0790331	0.000362912	0.0786702	6.64485e-08	7.0559e+06	32400	7.0235e+06	5.93236	
81	0.0178882	1.88288e-05	0.0178694	6.68588e-08	1.59702e+06	1681	1.59534e+06	5.969	
82	0.0333248	2.68936e-05	0.0332979	6.6863e-08	2.97516e+06	2401	2.97276e+06	5.96937	
83	0.019697	8.78158e-06	0.0196882	6.67224e-08	1.7585e+06	784	1.75772e+06	5.95682	
84	0.0292875	1.07641e-05	0.0292767	6.68508e-08	2.61472e+06	961	2.61376e+06	5.96828	
85	0.0326573	1.29483e-05	0.0326444	6.69452e-08	2.91557e+06	1156	2.91441e+06	5.97671	
86	0.0252336	1.45165e-05	0.0252191	6.6784e-08	2.25279e+06	1296	2.2515e+06	5.96232	
87	0.0599327	3.02875e-05	0.0599024	8.94147e-08	5.35066e+06	2704	5.34795e+06	7.98274	
88	0.0624096	3.26621e-05	0.0623753	1.7425e-06	5.57179e+06	2916	5.56872e+06	155.566	
89	0.0339821	9.42004e-06	0.0339726	6.70393e-08	3.03384e+06	841	3.033e+06	5.98511	
90	0.0646578	3.3883e-05	0.0646239	6.622e-08	5.7725e+06	3025	5.76947e+06	5.91197	
