Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	
1	0.0120265	2.53691e-06	0.0120239	9.86463e-08	1.21359e+06	256	1.21333e+06	9.9544	
2	0.158832	0.000428738	0.158403	1.01437e-07	1.60277e+07	43264	1.59845e+07	10.236	
3	0.020284	9.52334e-06	0.0202745	9.82876e-08	2.04686e+06	961	2.0459e+06	9.91819	
4	0.01285	2.86393e-06	0.0128472	9.81333e-08	1.2967e+06	289	1.29641e+06	9.90263	
5	0.0323817	2.09691e-05	0.0323607	9.85107e-08	3.26763e+06	2116	3.26552e+06	9.94071	
6	30.1105	8.44372	21.6668	0	3.03845e+09	8.52056e+08	2.1864e+09	0	
7	0.0197058	7.22426e-06	0.0196986	9.86681e-08	1.98851e+06	729	1.98778e+06	9.95659	
8	0.0266999	1.28431e-05	0.0266871	9.87822e-08	2.69429e+06	1296	2.69299e+06	9.96811	
9	0.0211482	6.19364e-06	0.021142	9.84626e-08	2.13407e+06	625	2.13344e+06	9.93586	
10	0.0812048	0.000115588	0.0810892	9.67725e-08	8.19437e+06	11664	8.18271e+06	9.76531	
11	0.0151705	4.79635e-06	0.0151657	9.81678e-08	1.53086e+06	484	1.53037e+06	9.90611	
12	0.0125234	3.57744e-06	0.0125198	9.85648e-08	1.26373e+06	361	1.26337e+06	9.94617	
13	0.0112265	2.86393e-06	0.0112236	9.85898e-08	1.13286e+06	289	1.13257e+06	9.94869	
14	0.0137974	3.21078e-06	0.0137941	9.8871e-08	1.39229e+06	324	1.39197e+06	9.97707	
15	0.040373	3.10772e-05	0.0403419	9.85163e-08	4.07403e+06	3136	4.0709e+06	9.94128	
16	0.0906348	0.000140333	0.0904945	1.00644e-07	9.14596e+06	14161	9.1318e+06	10.1559	
17	0.0157257	5.70805e-06	0.0157199	9.8695e-08	1.58688e+06	576	1.5863e+06	9.95931	
18	0.00995524	2.22971e-06	0.00995301	9.83018e-08	1.00458e+06	225	1.00435e+06	9.91963	
19	0.0303226	1.83232e-05	0.0303043	9.83136e-08	3.05985e+06	1849	3.05801e+06	9.92083	
20	0.0292082	1.43097e-05	0.0291939	9.87892e-08	2.9474e+06	1444	2.94596e+06	9.96881	
21	0.0717375	8.571e-05	0.0716518	9.72728e-08	7.23903e+06	8649	7.23038e+06	9.8158	
22	0.0188604	7.7693e-06	0.0188526	9.85567e-08	1.9032e+06	784	1.90242e+06	9.94535	
23	0.0246076	1.28431e-05	0.0245948	9.82614e-08	2.48315e+06	1296	2.48186e+06	9.91555	
24	0.0255329	1.14557e-05	0.0255215	9.83271e-08	2.57653e+06	1156	2.57537e+06	9.92219	
25	0.0149914	4.79635e-06	0.0149866	9.85061e-08	1.51278e+06	484	1.5123e+06	9.94025	
26	0.633642	0.00677761	0.626865	1.00134e-07	6.39408e+07	683929	6.32569e+07	10.1045	
27	0.0106141	2.22971e-06	0.0106119	9.84508e-08	1.07107e+06	225	1.07084e+06	9.93466	
28	0.0198464	7.7693e-06	0.0198386	9.81834e-08	2.0027e+06	784	2.00191e+06	9.90768	
29	0.0167448	6.19364e-06	0.0167386	9.83492e-08	1.68972e+06	625	1.68909e+06	9.92442	
30	0.0396009	2.57754e-05	0.0395751	9.82284e-08	3.99612e+06	2601	3.99352e+06	9.91222	
31	0.0174136	5.24229e-06	0.0174083	9.82153e-08	1.7572e+06	529	1.75667e+06	9.9109	
