Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	
1	0.011227	6.08028e-06	0.0112209	0	1.55288e+06	841	1.55203e+06	0	
2	0.00804487	2.08942e-06	0.00804278	0	1.11273e+06	289	1.11244e+06	0	
3	0.0122109	4.88736e-06	0.012206	0	1.68896e+06	676	1.68829e+06	0	
4	0.00931275	2.89193e-06	0.00930986	0	1.2881e+06	400	1.2877e+06	0	
5	0.00810837	2.34246e-06	0.00810603	0	1.12151e+06	324	1.12119e+06	0	
6	0.0459232	0.000105851	0.0458173	0	6.35191e+06	14641	6.33727e+06	0	
7	0.011064	4.16438e-06	0.0110598	0	1.53032e+06	576	1.52975e+06	0	
8	0.0117094	5.27054e-06	0.0117041	0	1.61959e+06	729	1.61887e+06	0	
9	0.00506098	1.22184e-06	0.00505976	0	700014	169	699845	0	
10	0.0208644	1.59706e-05	0.0208485	0	2.88588e+06	2209	2.88367e+06	0	
11	0.00487379	1.04109e-06	0.00487275	0	674123	144	673979	0	
12	0.00612107	1.22184e-06	0.00611985	0	846641	169	846472	0	
13	0.0106634	5.27054e-06	0.0106581	0	1.47491e+06	729	1.47418e+06	0	
14	0.00562644	1.04109e-06	0.0056254	0	778226	144	778082	0	
15	0.00926112	3.49923e-06	0.00925762	0	1.28095e+06	484	1.28047e+06	0	
16	0.0275741	3.24547e-05	0.0275417	0	3.81394e+06	4489	3.80945e+06	0	
17	0.0139586	8.85654e-06	0.0139498	0	1.9307e+06	1225	1.92947e+06	0	
18	0.00500202	1.22184e-06	0.0050008	0	691859	169	691690	0	
19	0.0269997	3.44212e-05	0.0269653	0	3.73449e+06	4761	3.72973e+06	0	
20	0.00948683	2.60996e-06	0.00948422	0	1.31217e+06	361	1.31181e+06	0	
21	0.00553962	1.85083e-06	0.00553777	0	766217	256	765961	0	
22	0.00561195	1.41704e-06	0.00561054	0	776222	196	776026	0	
23	0.00480539	8.74809e-07	0.00480452	0	664662	121	664541	0	
24	0.00710617	2.34246e-06	0.00710383	0	982896	324	982572	0	
25	0.0076822	2.34246e-06	0.00767986	0	1.06257e+06	324	1.06224e+06	0	
26	0.00553937	1.85083e-06	0.00553752	0	766183	256	765927	0	
27	0.0377782	7.22983e-05	0.0377059	0	5.22533e+06	10000	5.21533e+06	0	
28	0.00425595	8.74809e-07	0.00425508	0	588666	121	588545	0	
29	0.00629772	8.35768e-06	0.00628936	0	871075	1156	869919	0	
30	0.00653468	1.62671e-06	0.00653306	0	903850	225	903625	0	
31	0.00497018	1.22184e-06	0.00496896	0	687455	169	687286	0	
32	0.00417382	1.04109e-06	0.00417278	0	577306	144	577162	0	
33	0.0510014	0.000137684	0.0508637	0	7.0543e+06	19044	7.03526e+06	0	
34	0.00432997	3.82458e-06	0.00432615	0	598904	529	598375	0	
35	0.00559223	1.85083e-06	0.00559038	0	773494	256	773238	0	
36	0.00456731	1.04109e-06	0.00456627	0	631732	144	631588	0	
37	0.0277213	4.39862e-05	0.0276774	0	3.8343e+06	6084	3.82822e+06	0	
38	0.00329251	2.08942e-06	0.00329042	0	455407	289	455118	0	
39	0.00426754	1.04109e-06	0.0042665	0	590269	144	590125	0	
40	0.0175496	5.85616e-05	0.0174911	0	2.42739e+06	8100	2.41929e+06	0	
41	0.00495753	1.41704e-06	0.00495611	0	685705	196	685509	0	
42	0.00381239	8.74809e-07	0.00381152	0	527314	121	527193	0	
43	0.00525378	1.62671e-06	0.00525215	0	726681	225	726456	0	
44	0.00478378	1.41704e-06	0.00478236	0	661673	196	661477	0	
45	0.0406367	0.000292092	0.0403446	0	5.6207e+06	40401	5.5803e+06	0	
46	0.0224768	3.14931e-05	0.0224453	0	3.1089e+06	4356	3.10455e+06	0	
47	0.00357509	2.34246e-06	0.00357275	0	494492	324	494168	0	
48	0.00582059	2.08942e-06	0.0058185	0	805080	289	804791	0	
49	0.00265124	1.22184e-06	0.00265001	0	366708	169	366539	0	
50	0.0205023	2.5167e-05	0.0204771	0	2.83579e+06	3481	2.83231e+06	0	
51	0.0058628	5.66818e-06	0.00585713	0	810918	784	810134	0	
52	0.00346986	2.08942e-06	0.00346777	0	479937	289	479648	0	
53	0.00441106	3.49923e-06	0.00440756	0	610119	484	609635	0	
54	0.0140478	2.96133e-05	0.0140182	0	1.94303e+06	4096	1.93894e+06	0	
55	0.00351333	2.08942e-06	0.00351124	0	485949	289	485660	0	
56	0.00282118	1.41704e-06	0.00281977	0	390214	196	390018	0	
57	0.00501625	4.16438e-06	0.00501209	0	693828	576	693252	0	
58	0.00547927	4.88736e-06	0.00547438	0	757870	676	757194	0	
59	0.00678439	7.87328e-06	0.00677652	0	938389	1089	937300	0	
60	0.0278716	0.000125972	0.0277456	0	3.85508e+06	17424	3.83766e+06	0	
61	0.00320427	1.62671e-06	0.00320264	0	443201	225	442976	0	
62	0.00492613	3.82458e-06	0.0049223	0	681362	529	680833	0	
63	0.00513402	4.16438e-06	0.00512985	0	710116	576	709540	0	
64	0.00337362	1.62671e-06	0.00337199	0	466625	225	466400	0	
65	0.00234876	8.74809e-07	0.00234788	0	324870	121	324749	0	
66	0.0339178	0.000160509	0.0337573	0	4.69137e+06	22201	4.66917e+06	0	
67	0.00434754	2.89193e-06	0.00434465	0	601334	400	600934	0	
68	0.00291929	1.22184e-06	0.00291807	0	403785	169	403616	0	
69	0.0044556	3.49923e-06	0.0044521	0	616280	484	615796	0	
70	0.00332288	1.85083e-06	0.00332103	0	459608	256	459352	0	
71	0.0176502	6.50684e-06	0.0176437	0	2.44131e+06	900	2.44041e+06	0	
72	0.00588068	5.27054e-06	0.00587541	0	813391	729	812662	0	
73	0.0115685	2.03085e-05	0.0115482	0	1.6001e+06	2809	1.59729e+06	0	
74	0.00358137	1.85083e-06	0.00357952	0	495360	256	495104	0	
75	0.00990672	1.73588e-05	0.00988936	0	1.37025e+06	2401	1.36785e+06	0	
76	0.0197144	6.94353e-05	0.0196449	0	2.72681e+06	9604	2.71721e+06	0	
77	0.00752514	8.85654e-06	0.00751628	0	1.04084e+06	1225	1.03962e+06	0	
78	0.00378424	2.08942e-06	0.00378215	0	523421	289	523132	0	
79	0.00594465	4.88736e-06	0.00593977	0	822240	676	821564	0	
80	0.00266756	1.04109e-06	0.00266652	0	368965	144	368821	0	
81	0.00854728	2.34246e-06	0.00854494	0	1.18222e+06	324	1.1819e+06	0	
82	0.00274576	1.04109e-06	0.00274472	0	379782	144	379638	0	
83	0.022039	9.36986e-06	0.0220296	0	3.04834e+06	1296	3.04704e+06	0	
84	0.00669806	8.74809e-07	0.00669719	0	926448	121	926327	0	
85	0.00348026	1.62671e-06	0.00347864	0	481376	225	481151	0	
86	0.00673786	8.74809e-07	0.00673698	0	931952	121	931831	0	
87	0.0847132	0.000906013	0.0838072	0	1.17171e+07	125316	1.15918e+07	0	
88	0.00860717	9.89763e-06	0.00859727	0	1.1905e+06	1369	1.18913e+06	0	
89	0.0141471	3.82458e-06	0.0141433	0	1.95677e+06	529	1.95624e+06	0	
90	0.0301094	0.00011478	0.0299946	0	4.1646e+06	15876	4.14873e+06	0	
91	0.00415157	2.34246e-06	0.00414923	0	574228	324	573904	0	
92	0.0158765	3.44212e-05	0.0158421	0	2.19597e+06	4761	2.19121e+06	0	
93	0.0121431	2.89193e-06	0.0121402	0	1.67958e+06	400	1.67918e+06	0	
94	0.00241628	8.74809e-07	0.00241541	0	334211	121	334090	0	
95	0.00450376	2.89193e-06	0.00450087	0	622942	400	622542	0	
96	0.00309728	1.22184e-06	0.00309605	0	428402	169	428233	0	
97	0.0122774	2.89193e-06	0.0122745	0	1.69816e+06	400	1.69776e+06	0	
98	0.00932052	1.62671e-06	0.00931889	0	1.28917e+06	225	1.28895e+06	0	
99	0.0067435	8.74809e-07	0.00674262	0	932732	121	932611	0	
100	0.00476166	2.89193e-06	0.00475877	0	658614	400	658214	0	
101	0.0204638	7.87328e-06	0.0204559	0	2.83047e+06	1089	2.82938e+06	0	
