Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	
16	0.0118286	2.4445e-06	0.0118261	6.80538e-08	1.23874e+06	256	1.23849e+06	7.12691	
21	0.00961872	1.87157e-06	0.00961685	6.79233e-08	1.00731e+06	196	1.00712e+06	7.11325	
32	0.156174	0.000413121	0.155761	7.06026e-08	1.63553e+07	43264	1.6312e+07	7.39383	
39	0.0199622	9.17644e-06	0.019953	6.7711e-08	2.09053e+06	961	2.08957e+06	7.09101	
62	0.0126392	2.75961e-06	0.0126364	6.75622e-08	1.32363e+06	289	1.32334e+06	7.07543	
69	0.0318654	2.02053e-05	0.0318452	6.79581e-08	3.33709e+06	2116	3.33498e+06	7.11688	
83	29.4434	8.13615	21.3072	0	3.08345e+09	8.52056e+08	2.23139e+09	0	
85	0.0193889	6.96111e-06	0.0193819	6.80789e-08	2.03049e+06	729	2.02976e+06	7.12954	
99	0.0262693	1.23753e-05	0.0262569	6.82163e-08	2.75104e+06	1296	2.74975e+06	7.14393	
103	0.0208398	5.96803e-06	0.0208339	6.78847e-08	2.18245e+06	625	2.18182e+06	7.1092	
125	0.0798509	0.000111377	0.0797395	6.62258e-08	8.36236e+06	11664	8.35069e+06	6.93547	
135	0.0149289	4.62164e-06	0.0149243	6.75754e-08	1.56342e+06	484	1.56294e+06	7.07681	
136	0.0082403	1.37503e-06	0.00823892	6.79955e-08	862962	144	862818	7.1208	
154	0.0123236	3.44713e-06	0.0123201	6.79783e-08	1.29058e+06	361	1.29022e+06	7.119	
165	0.011048	2.75961e-06	0.0110453	6.80011e-08	1.157e+06	289	1.15671e+06	7.12139	
194	0.0135673	3.09382e-06	0.0135642	6.82639e-08	1.42083e+06	324	1.42051e+06	7.14891	
245	0.0397233	2.99452e-05	0.0396933	6.79349e-08	4.16001e+06	3136	4.15687e+06	7.11446	
255	0.0891319	0.000135221	0.0889967	7.00541e-08	9.33431e+06	14161	9.32015e+06	7.33639	
260	0.0154724	5.50013e-06	0.0154669	6.80912e-08	1.62034e+06	576	1.61976e+06	7.13082	
261	0.00979628	2.14849e-06	0.00979413	6.77202e-08	1.02591e+06	225	1.02568e+06	7.09197	
262	0.0298367	1.76558e-05	0.029819	6.772e-08	3.12463e+06	1849	3.12278e+06	7.09195	
273	0.028736	1.37885e-05	0.0287222	6.81873e-08	3.00937e+06	1444	3.00793e+06	7.14089	
287	0.0705322	8.2588e-05	0.0704496	6.6722e-08	7.38646e+06	8649	7.37781e+06	6.98743	
298	0.0185589	7.4863e-06	0.0185514	6.79643e-08	1.94358e+06	784	1.94279e+06	7.11754	
