Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	
1	0.0133123	3.24929e-06	0.0133091	2.22642e-08	1.32743e+06	324	1.3271e+06	2.22006	
2	0.0429242	3.49098e-05	0.0428893	2.2727e-08	4.28014e+06	3481	4.27666e+06	2.26621	
3	0.0106906	1.96562e-06	0.0106887	2.23583e-08	1.06601e+06	196	1.06581e+06	2.22944	
4	0.00836392	1.21347e-06	0.0083627	2.23023e-08	834000	121	833879	2.22386	
5	0.0118532	2.56734e-06	0.0118506	2.24655e-08	1.18193e+06	256	1.18167e+06	2.24012	
6	0.107651	0.000202218	0.107448	2.13332e-08	1.07343e+07	20164	1.07141e+07	2.12722	
7	0.035098	2.12206e-05	0.0350768	2.22485e-08	3.49976e+06	2116	3.49765e+06	2.21849	
8	0.0187794	6.26792e-06	0.0187732	2.24828e-08	1.87257e+06	625	1.87195e+06	2.24185	
9	0.0323528	2.0308e-05	0.0323325	2.23469e-08	3.22603e+06	2025	3.224e+06	2.2283	
10	0.0541596	5.19886e-05	0.0541076	2.22125e-08	5.40047e+06	5184	5.39529e+06	2.21489	
11	0.00924679	1.96562e-06	0.00924482	2.22061e-08	922034	196	921838	2.21426	
12	0.0675613	7.94371e-05	0.0674819	2.09448e-08	6.73681e+06	7921	6.72889e+06	2.08849	
13	0.0214844	8.43411e-06	0.0214759	2.2317e-08	2.14229e+06	841	2.14145e+06	2.22531	
14	0.0105808	1.96562e-06	0.0105788	2.25046e-08	1.05505e+06	196	1.05486e+06	2.24402	
15	0.0185682	6.26792e-06	0.0185619	2.25659e-08	1.85151e+06	625	1.85089e+06	2.25014	
16	0.00825177	1.21347e-06	0.00825056	2.23736e-08	822818	121	822697	2.23097	
17	0.0137376	3.24929e-06	0.0137344	2.23917e-08	1.36983e+06	324	1.36951e+06	2.23277	
18	0.0090627	1.44412e-06	0.00906126	2.23064e-08	903679	144	903535	2.22426	
19	0.0211891	7.86248e-06	0.0211813	2.22016e-08	2.11285e+06	784	2.11207e+06	2.21381	
20	0.0871006	0.000142016	0.0869586	2.1011e-08	8.68516e+06	14161	8.671e+06	2.0951	
21	0.012843	2.89828e-06	0.0128401	2.25043e-08	1.28063e+06	289	1.28034e+06	2.244	
22	0.00978397	1.69484e-06	0.00978227	2.21333e-08	975599	169	975430	2.20701	
23	0.011081	2.25645e-06	0.0110787	2.25055e-08	1.10493e+06	225	1.10471e+06	2.24412	
24	0.0173644	5.30517e-06	0.0173591	2.24421e-08	1.73147e+06	529	1.73094e+06	2.23779	
25	0.0361839	2.3106e-05	0.0361608	2.25331e-08	3.60804e+06	2304	3.60574e+06	2.24687	
26	0.0119249	3.24929e-06	0.0119217	2.23635e-08	1.18908e+06	324	1.18876e+06	2.22995	
27	0.00904764	1.44412e-06	0.0090462	2.23571e-08	902177	144	902033	2.22931	
28	0.0121714	3.24929e-06	0.0121682	2.23317e-08	1.21366e+06	324	1.21334e+06	2.22679	
29	0.0105201	1.96562e-06	0.0105182	2.25146e-08	1.049e+06	196	1.04881e+06	2.24502	
30	0.00748412	5.77651e-06	0.00747834	2.2309e-08	746272	576	745696	2.22452	
31	0.0200377	7.3109e-06	0.0200304	2.27291e-08	1.99804e+06	729	1.99731e+06	2.26641	
32	0.126813	0.000362035	0.126451	2.21501e-08	1.2645e+07	36100	1.26089e+07	2.20868	
33	0.00801874	1.69484e-06	0.00801705	2.2234e-08	799581	169	799412	2.21705	
34	0.0218977	8.43411e-06	0.0218892	2.24722e-08	2.1835e+06	841	2.18266e+06	2.2408	
35	0.00833992	1.21347e-06	0.00833871	2.24534e-08	831607	121	831486	2.23892	
36	0.0111409	2.25645e-06	0.0111386	2.25856e-08	1.1109e+06	225	1.11068e+06	2.2521	
37	0.00902846	1.44412e-06	0.00902702	2.24786e-08	900264	144	900120	2.24143	
38	0.0164592	4.85388e-06	0.0164543	2.23139e-08	1.64121e+06	484	1.64072e+06	2.225	
39	0.0089371	1.44412e-06	0.00893566	2.25257e-08	891154	144	891010	2.24612	
40	0.0358394	2.3106e-05	0.0358163	2.27602e-08	3.5737e+06	2304	3.57139e+06	2.26951	
41	0.0277361	1.37292e-05	0.0277224	2.25631e-08	2.76568e+06	1369	2.76431e+06	2.24986	
42	0.0193768	6.77938e-06	0.01937	2.26026e-08	1.93214e+06	676	1.93146e+06	2.25379	
43	0.0208518	7.86248e-06	0.0208439	2.26273e-08	2.07921e+06	784	2.07843e+06	2.25626	
44	0.0127486	2.89828e-06	0.0127457	2.23178e-08	1.27122e+06	289	1.27093e+06	2.2254	
45	0.0202405	1.02693e-05	0.0202302	2.24223e-08	2.01826e+06	1024	2.01723e+06	2.23581	
46	0.0112567	2.89828e-06	0.0112538	2.23613e-08	1.12245e+06	289	1.12216e+06	2.22974	
47	0.0292165	1.94155e-05	0.0291971	2.17817e-08	2.91329e+06	1936	2.91136e+06	2.17194	
48	0.0135128	4.01147e-06	0.0135088	2.22945e-08	1.34741e+06	400	1.34701e+06	2.22307	
49	0.00941929	1.69484e-06	0.00941759	2.2488e-08	939235	169	939066	2.24237	
50	0.0122264	2.89828e-06	0.0122235	2.24491e-08	1.21914e+06	289	1.21885e+06	2.23849	
