Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	
1	0.0308078	1.62726e-05	0.0307915	0	1.38016e+06	729	1.37943e+06	0	
2	0.00643505	8.05818e-06	0.00642699	0	288285	361	287924	0	
3	0.0173193	6.03582e-05	0.0172589	0	775891	2704	773187	0	
4	0.032934	1.75003e-05	0.0329165	0	1.47541e+06	784	1.47463e+06	0	
5	0.0326713	2.00896e-05	0.0326512	0	1.46364e+06	900	1.46274e+06	0	
6	0.0115772	3.21434e-06	0.011574	0	518649	144	518505	0	
7	0.0177082	5.71439e-06	0.0177025	0	793315	256	793059	0	
8	0.0166584	4.37508e-06	0.016654	0	746285	196	746089	0	
9	0.0142891	3.21434e-06	0.0142858	0	640140	144	639996	0	
10	0.0218363	7.23227e-06	0.0218291	0	978250	324	977926	0	
11	0.0280217	1.18082e-05	0.0280099	0	1.25535e+06	529	1.25482e+06	0	
12	0.0168743	4.37508e-06	0.01687	0	755958	196	755762	0	
13	0.00935169	1.28573e-05	0.00933883	0	418947	576	418371	0	
14	0.020841	6.45101e-06	0.0208346	0	933663	289	933374	0	
15	0.15696	0.000383065	0.156577	0	7.03168e+06	17161	7.01452e+06	0	
16	0.00430933	3.77239e-06	0.00430556	0	193054	169	192885	0	
17	0.00718569	8.05818e-06	0.00717763	0	321913	361	321552	0	
18	0.00434866	2.70094e-06	0.00434596	0	194816	121	194695	0	
19	0.0160179	3.77239e-06	0.0160142	0	717591	169	717422	0	
20	0.0474832	3.39515e-05	0.0474492	0	2.1272e+06	1521	2.12568e+06	0	
21	0.14565	0.000332238	0.145318	0	6.52502e+06	14884	6.51013e+06	0	
22	0.00505486	4.37508e-06	0.00505048	0	226453	196	226257	0	
23	0.0291832	1.28573e-05	0.0291704	0	1.30738e+06	576	1.3068e+06	0	
24	0.0641977	6.2702e-05	0.064135	0	2.876e+06	2809	2.87319e+06	0	
25	0.0170444	4.37508e-06	0.01704	0	763576	196	763380	0	
26	0.0531652	4.1273e-05	0.053124	0	2.38176e+06	1849	2.37991e+06	0	
27	0.00587402	6.45101e-06	0.00586757	0	263151	289	262862	0	
28	0.00848772	1.08037e-05	0.00847691	0	380242	484	379758	0	
29	0.0146521	3.21434e-06	0.0146489	0	656402	144	656258	0	
30	0.0171824	4.37508e-06	0.0171781	0	769760	196	769564	0	
31	0.0713333	7.77023e-05	0.0712556	0	3.19567e+06	3481	3.19219e+06	0	
32	0.006123	5.71439e-06	0.00611728	0	274305	256	274049	0	
33	0.0132465	2.70094e-06	0.0132438	0	593436	121	593315	0	
34	0.0173994	4.37508e-06	0.017395	0	779480	196	779284	0	
35	0.0158451	3.77239e-06	0.0158413	0	709850	169	709681	0	
36	0.0137095	2.70094e-06	0.0137068	0	614174	121	614053	0	
37	0.0366254	2.00896e-05	0.0366053	0	1.64079e+06	900	1.63989e+06	0	
38	0.625271	0.0102912	0.61498	0	2.80116e+07	461041	2.75506e+07	0	
39	0.0351653	1.87726e-05	0.0351465	0	1.57537e+06	841	1.57453e+06	0	
40	0.0168709	4.37508e-06	0.0168665	0	755804	196	755608	0	
41	0.021838	7.23227e-06	0.0218308	0	978327	324	978003	0	
42	0.00691505	5.02241e-06	0.00691003	0	309788	225	309563	0	
43	0.0150418	3.21434e-06	0.0150386	0	673860	144	673716	0	
44	0.00624702	3.77239e-06	0.00624325	0	279861	169	279692	0	
45	0.0151756	3.21434e-06	0.0151724	0	679856	144	679712	0	
46	0.00671436	3.21434e-06	0.00671115	0	300798	144	300654	0	
47	0.0172809	2.5804e-05	0.0172551	0	774170	1156	773014	0	
48	0.0113781	9.84393e-06	0.0113683	0	509732	441	509291	0	
49	0.00721288	4.37508e-06	0.00720851	0	323131	196	322935	0	
50	0.013719	2.70094e-06	0.0137163	0	614600	121	614479	0	
51	0.0140017	2.70094e-06	0.013999	0	627266	121	627145	0	
52	0.00790995	4.37508e-06	0.00790558	0	354359	196	354163	0	
53	0.0427406	2.5804e-05	0.0427148	0	1.91474e+06	1156	1.91359e+06	0	
54	0.0193622	5.02241e-06	0.0193571	0	867411	225	867186	0	
55	0.0559447	5.80591e-05	0.0558866	0	2.50627e+06	2601	2.50367e+06	0	
56	0.0303978	2.00896e-05	0.0303778	0	1.3618e+06	900	1.3609e+06	0	
57	0.0158211	3.21434e-06	0.0158179	0	708774	144	708630	0	
58	0.0431923	2.28575e-05	0.0431695	0	1.93498e+06	1024	1.93395e+06	0	
59	0.0198929	5.02241e-06	0.0198879	0	891187	225	890962	0	
60	0.0162194	3.77239e-06	0.0162156	0	726616	169	726447	0	
61	0.000470789	2.70094e-06	0.000468088	0	21090.9	121	20969.9	0	
62	0.0355343	1.62726e-05	0.035518	0	1.5919e+06	729	1.59117e+06	0	
63	0.0300735	1.18082e-05	0.0300617	0	1.34726e+06	529	1.34673e+06	0	
64	1.41389	0.0248918	1.389	0	6.33414e+07	1.11513e+06	6.22263e+07	0	
65	0.0157038	1.18082e-05	0.015692	0	703521	529	702992	0	
66	0.00951892	5.02241e-06	0.0095139	0	426439	225	426214	0	
67	0.01221	3.21434e-06	0.0122067	0	546998	144	546854	0	
68	0.0190643	4.37508e-06	0.0190599	0	854064	196	853868	0	
69	0.0343944	1.39511e-05	0.0343804	0	1.54084e+06	625	1.54021e+06	0	
70	0.0135951	2.70094e-06	0.0135924	0	609052	121	608931	0	
71	0.0488226	3.7523e-05	0.0487851	0	2.18721e+06	1681	2.18553e+06	0	
72	0.0189166	5.02241e-06	0.0189116	0	847449	225	847224	0	
73	0.0146805	2.70094e-06	0.0146778	0	657675	121	657554	0	
74	0.0142099	3.21434e-06	0.0142067	0	636592	144	636448	0	
75	0.0243782	7.23227e-06	0.024371	0	1.09212e+06	324	1.0918e+06	0	
76	0.0241484	7.23227e-06	0.0241412	0	1.08183e+06	324	1.0815e+06	0	
77	0.0176281	3.77239e-06	0.0176244	0	789728	169	789559	0	
78	0.0356227	1.50895e-05	0.0356076	0	1.59586e+06	676	1.59519e+06	0	
79	0.239965	0.00109022	0.238874	0	1.07502e+07	48841	1.07013e+07	0	
80	0.0867868	9.14302e-05	0.0866953	0	3.88797e+06	4096	3.88388e+06	0	
81	0.0634954	4.52017e-05	0.0634502	0	2.84454e+06	2025	2.84251e+06	0	
82	0.0147114	3.77239e-06	0.0147077	0	659062	169	658893	0	
83	0.0346112	1.39511e-05	0.0345972	0	1.55055e+06	625	1.54992e+06	0	
84	0.00672211	1.18082e-05	0.0067103	0	301145	529	300616	0	
85	0.0199156	5.02241e-06	0.0199106	0	892205	225	891980	0	
86	0.227688	0.000571439	0.227117	0	1.02002e+07	25600	1.01746e+07	0	
87	0.0543291	3.39515e-05	0.0542952	0	2.4339e+06	1521	2.43238e+06	0	
88	0.0128874	3.21434e-06	0.0128842	0	577346	144	577202	0	
89	0.367447	0.00155574	0.365892	0	1.64613e+07	69696	1.63916e+07	0	
90	0.0217506	5.71439e-06	0.0217449	0	974412	256	974156	0	
91	0.00918332	2.70094e-06	0.00918062	0	411405	121	411284	0	
92	4.96464	0.27689	4.68774	0	2.22411e+08	1.24044e+07	2.10007e+08	0	
93	0.0268924	7.23227e-06	0.0268851	0	1.20475e+06	324	1.20443e+06	0	
94	0.0643833	4.1273e-05	0.0643421	0	2.88432e+06	1849	2.88247e+06	0	
95	0.0311566	9.84393e-06	0.0311468	0	1.39579e+06	441	1.39535e+06	0	
96	0.0524986	2.73442e-05	0.0524713	0	2.35189e+06	1225	2.35067e+06	0	
97	0.385941	0.0015794	0.384362	0	1.72898e+07	70756	1.72191e+07	0	
98	0.0652024	0.000132346	0.06507	0	2.92101e+06	5929	2.91508e+06	0	
99	0.0158046	3.77239e-06	0.0158008	0	708035	169	707866	0	
100	0.0147148	6.45101e-06	0.0147083	0	659211	289	658922	0	
101	0.0156639	3.21434e-06	0.0156607	0	701730	144	701586	0	
102	0.0139984	2.70094e-06	0.0139957	0	627119	121	626998	0	
103	0.033717	1.62726e-05	0.0337007	0	1.51049e+06	729	1.50976e+06	0	
104	0.126578	0.000188932	0.126389	0	5.67062e+06	8464	5.66216e+06	0	
105	0.0200656	5.71439e-06	0.0200599	0	898923	256	898667	0	
106	0.0218591	7.23227e-06	0.0218518	0	979269	324	978945	0	
107	0.0202976	5.71439e-06	0.0202919	0	909316	256	909060	0	
108	0.0221201	5.71439e-06	0.0221144	0	990965	256	990709	0	
109	0.249902	0.000707245	0.249195	0	1.11954e+07	31684	1.11637e+07	0	
110	0.127098	0.000223218	0.126875	0	5.6939e+06	10000	5.6839e+06	0	
111	0.0179455	5.02241e-06	0.0179405	0	803944	225	803719	0	
112	0.0144727	3.21434e-06	0.0144694	0	648365	144	648221	0	
113	0.0284774	8.05818e-06	0.0284693	0	1.27576e+06	361	1.2754e+06	0	
114	0.102088	0.000103216	0.101985	0	4.57348e+06	4624	4.56886e+06	0	
115	0.0208462	4.37508e-06	0.0208418	0	933893	196	933697	0	
116	0.0225323	5.02241e-06	0.0225273	0	1.00942e+06	225	1.0092e+06	0	
117	0.0224094	5.02241e-06	0.0224044	0	1.00392e+06	225	1.00369e+06	0	
118	0.0700024	5.14295e-05	0.069951	0	3.13605e+06	2304	3.13374e+06	0	
119	0.0249447	2.14512e-05	0.0249232	0	1.1175e+06	961	1.11654e+06	0	
120	0.0167404	3.21434e-06	0.0167372	0	749958	144	749814	0	
121	0.0183048	3.77239e-06	0.018301	0	820041	169	819872	0	
122	0.0184966	3.77239e-06	0.0184928	0	828634	169	828465	0	
123	0.0347718	1.28573e-05	0.034759	0	1.55775e+06	576	1.55717e+06	0	
124	0.0165401	2.70094e-06	0.0165374	0	740984	121	740863	0	
125	0.206516	0.000462865	0.206054	0	9.25178e+06	20736	9.23104e+06	0	
126	0.0281145	8.05818e-06	0.0281064	0	1.2595e+06	361	1.25914e+06	0	
127	0.0407817	1.75003e-05	0.0407642	0	1.82698e+06	784	1.8262e+06	0	
128	0.0759693	6.50904e-05	0.0759042	0	3.40336e+06	2916	3.40044e+06	0	
129	0.0195708	3.77239e-06	0.019567	0	876757	169	876588	0	
130	0.0332021	1.08037e-05	0.0331913	0	1.48743e+06	484	1.48694e+06	0	
131	0.0565795	3.05586e-05	0.056549	0	2.53471e+06	1369	2.53334e+06	0	
132	0.021445	4.37508e-06	0.0214406	0	960718	196	960522	0	
133	0.0107651	5.71439e-06	0.0107594	0	482269	256	482013	0	
134	0.0381198	1.50895e-05	0.0381047	0	1.70773e+06	676	1.70706e+06	0	
135	0.0270474	1.08037e-05	0.0270366	0	1.2117e+06	484	1.21121e+06	0	
136	0.100126	9.72339e-05	0.100028	0	4.48556e+06	4356	4.4812e+06	0	
137	0.223394	0.000515723	0.222878	0	1.00078e+07	23104	9.98476e+06	0	
138	0.0409202	1.62726e-05	0.0409039	0	1.83319e+06	729	1.83246e+06	0	
139	0.41205	0.00163933	0.410411	0	1.84595e+07	73441	1.8386e+07	0	
140	0.0439403	1.87726e-05	0.0439216	0	1.96849e+06	841	1.96765e+06	0	
141	0.0475752	2.14512e-05	0.0475537	0	2.13133e+06	961	2.13036e+06	0	
142	0.193527	0.000377239	0.19315	0	8.66988e+06	16900	8.65298e+06	0	
143	0.0586757	3.39515e-05	0.0586417	0	2.62862e+06	1521	2.6271e+06	0	
144	0.0317015	9.84393e-06	0.0316917	0	1.4202e+06	441	1.41976e+06	0	
145	0.0471154	2.43084e-05	0.0470911	0	2.11073e+06	1089	2.10964e+06	0	
146	0.0192221	3.77239e-06	0.0192183	0	861136	169	860967	0	
147	0.022494	5.02241e-06	0.022489	0	1.00771e+06	225	1.00749e+06	0	
148	0.0194475	3.77239e-06	0.0194437	0	871233	169	871064	0	
149	0.0240059	5.71439e-06	0.0240001	0	1.07544e+06	256	1.07518e+06	0	
150	0.0248712	6.45101e-06	0.0248648	0	1.11421e+06	289	1.11392e+06	0	
151	0.0612168	3.93757e-05	0.0611774	0	2.74246e+06	1764	2.74069e+06	0	
152	0.0230856	2.43084e-05	0.0230613	0	1.03421e+06	1089	1.03312e+06	0	
153	0.0174791	5.71439e-06	0.0174734	0	783050	256	782794	0	
154	0.0190071	1.62726e-05	0.0189909	0	851505	729	850776	0	
155	0.0288758	8.05818e-06	0.0288677	0	1.29361e+06	361	1.29325e+06	0	
156	0.0194955	5.02241e-06	0.0194904	0	873383	225	873158	0	
157	0.031428	9.84393e-06	0.0314182	0	1.40795e+06	441	1.40751e+06	0	
158	0.059287	4.52017e-05	0.0592419	0	2.65601e+06	2025	2.65398e+06	0	
159	0.0203625	5.02241e-06	0.0203575	0	912225	225	912000	0	
160	0.0654656	8.58051e-05	0.0653798	0	2.9328e+06	3844	2.92896e+06	0	
161	0.0210186	4.37508e-06	0.0210142	0	941616	196	941420	0	
162	0.0254771	8.05818e-06	0.0254691	0	1.14135e+06	361	1.14099e+06	0	
163	0.0101611	5.02241e-06	0.0101561	0	455213	225	454988	0	
164	0.0389484	1.50895e-05	0.0389333	0	1.74485e+06	676	1.74418e+06	0	
165	0.0483375	2.28575e-05	0.0483147	0	2.16548e+06	1024	2.16445e+06	0	
166	0.0345559	1.18082e-05	0.0345441	0	1.54807e+06	529	1.54754e+06	0	
167	0.015213	3.21434e-06	0.0152097	0	681529	144	681385	0	
168	0.0164876	2.70094e-06	0.0164849	0	738635	121	738514	0	
169	0.0303566	8.92873e-06	0.0303476	0	1.35995e+06	400	1.35955e+06	0	
170	0.0197865	1.39511e-05	0.0197726	0	886422	625	885797	0	
171	0.0821521	6.75235e-05	0.0820845	0	3.68034e+06	3025	3.67732e+06	0	
172	0.0179232	3.21434e-06	0.01792	0	802945	144	802801	0	
173	0.018612	6.45101e-06	0.0186055	0	833802	289	833513	0	
174	0.0462503	2.14512e-05	0.0462288	0	2.07197e+06	961	2.07101e+06	0	
175	0.0290608	8.05818e-06	0.0290527	0	1.3019e+06	361	1.30153e+06	0	
176	0.0183963	3.21434e-06	0.0183931	0	824142	144	823998	0	
177	0.0149946	2.70094e-06	0.0149919	0	671749	121	671628	0	
178	0.0435677	2.28575e-05	0.0435448	0	1.95179e+06	1024	1.95077e+06	0	
179	0.0378821	1.75003e-05	0.0378646	0	1.69708e+06	784	1.6963e+06	0	
180	0.0216763	5.71439e-06	0.0216705	0	971080	256	970824	0	
181	0.058034	4.1273e-05	0.0579927	0	2.59987e+06	1849	2.59802e+06	0	
182	4.76744	0.228432	4.53901	0	2.13577e+08	1.02336e+07	2.03344e+08	0	
183	0.00620954	3.05586e-05	0.00617898	0	278182	1369	276813	0	
184	0.0441448	2.28575e-05	0.0441219	0	1.97765e+06	1024	1.97662e+06	0	
185	0.0625064	4.52017e-05	0.0624612	0	2.80023e+06	2025	2.79821e+06	0	
186	0.0050785	1.75003e-05	0.005061	0	227512	784	226728	0	
187	0.0436896	2.28575e-05	0.0436667	0	1.95725e+06	1024	1.95623e+06	0	
188	0.0207669	5.02241e-06	0.0207619	0	930344	225	930118	0	
189	0.00924293	2.70094e-06	0.00924023	0	414075	121	413954	0	
190	0.121956	0.00610567	0.11585	0	5.46353e+06	273529	5.19e+06	0	
191	0.0107681	5.71439e-06	0.0107624	0	482402	256	482146	0	
192	0.103686	0.00012893	0.103557	0	4.64504e+06	5776	4.63927e+06	0	
193	0.0506863	0.00175003	0.0489363	0	2.2707e+06	78400	2.1923e+06	0	
194	0.0302867	9.84393e-06	0.0302768	0	1.35681e+06	441	1.35637e+06	0	
195	0.180232	0.000337707	0.179895	0	8.07427e+06	15129	8.05914e+06	0	
196	0.0168145	3.21434e-06	0.0168113	0	753276	144	753132	0	
197	0.0210835	5.02241e-06	0.0210785	0	944527	225	944302	0	
198	0.0192104	3.77239e-06	0.0192066	0	860611	169	860442	0	
199	0.0393652	1.75003e-05	0.0393477	0	1.76352e+06	784	1.76274e+06	0	
200	0.00255742	3.77239e-06	0.00255364	0	114570	169	114401	0	
201	0.0235955	5.71439e-06	0.0235898	0	1.05706e+06	256	1.0568e+06	0	
202	0.016347	2.70094e-06	0.0163443	0	732333	121	732212	0	
203	0.0965248	0.000112524	0.0964122	0	4.32423e+06	5041	4.31918e+06	0	
204	0.0359591	2.43084e-05	0.0359348	0	1.61094e+06	1089	1.60985e+06	0	
205	0.0283428	8.92873e-06	0.0283338	0	1.26973e+06	400	1.26933e+06	0	
206	0.0475085	2.43084e-05	0.0474842	0	2.12834e+06	1089	2.12725e+06	0	
207	0.0491938	3.05586e-05	0.0491632	0	2.20384e+06	1369	2.20247e+06	0	
208	0.0223879	5.02241e-06	0.0223829	0	1.00296e+06	225	1.00273e+06	0	
209	0.00613071	2.00896e-05	0.00611062	0	274650	900	273750	0	
210	0.0239796	5.71439e-06	0.0239739	0	1.07426e+06	256	1.07401e+06	0	
211	0.0169686	3.21434e-06	0.0169654	0	760181	144	760037	0	
212	0.0162632	2.70094e-06	0.0162605	0	728581	121	728460	0	
213	0.0191581	3.77239e-06	0.0191544	0	858270	169	858101	0	
214	0.0265096	8.92873e-06	0.0265006	0	1.1876e+06	400	1.1872e+06	0	
215	0.00406349	7.23227e-06	0.00405626	0	182041	324	181717	0	
216	0.0362332	1.39511e-05	0.0362192	0	1.62321e+06	625	1.62259e+06	0	
217	0.0233841	5.71439e-06	0.0233784	0	1.04759e+06	256	1.04733e+06	0	
218	0.0314653	5.35947e-05	0.0314117	0	1.40961e+06	2401	1.40721e+06	0	
219	0.0193815	3.77239e-06	0.0193777	0	868275	169	868106	0	
220	0.0193045	4.37508e-06	0.0193001	0	864827	196	864631	0	
221	0.00291444	3.21434e-06	0.00291123	0	130564	144	130420	0	
222	0.04986	2.89291e-05	0.0498311	0	2.23368e+06	1296	2.23239e+06	0	
223	0.0158005	2.70094e-06	0.0157978	0	707850	121	707729	0	
224	0.124854	0.000161275	0.124693	0	5.59337e+06	7225	5.58614e+06	0	
225	0.0208265	4.37508e-06	0.0208222	0	933013	196	932817	0	
226	0.0237398	5.71439e-06	0.0237341	0	1.06352e+06	256	1.06327e+06	0	
227	0.0477432	2.43084e-05	0.0477189	0	2.13885e+06	1089	2.13776e+06	0	
228	0.0367236	1.62726e-05	0.0367073	0	1.64518e+06	729	1.64446e+06	0	
229	0.00434697	1.18082e-05	0.00433516	0	194740	529	194211	0	
