Node	dPC	dPCintra	dPCflux	dPCconnector	varPC	varPCintra	varPCflux	varPCconnector	
1	0.0135339	3.3974e-06	0.0135306	4.75523e-08	1.29069e+06	324	1.29037e+06	4.53492	
2	0.0436417	3.65011e-05	0.0436052	4.80338e-08	4.16197e+06	3481	4.15849e+06	4.58083	
3	0.0120511	2.68436e-06	0.0120484	4.77613e-08	1.14928e+06	256	1.14902e+06	4.55485	
4	0.109407	0.000211436	0.109195	4.65751e-08	1.04338e+07	20164	1.04136e+07	4.44172	
5	0.0356777	2.21879e-05	0.0356555	4.75345e-08	3.40247e+06	2116	3.40036e+06	4.53322	
6	0.0190826	6.55363e-06	0.0190761	4.778e-08	1.81985e+06	625	1.81922e+06	4.55663	
7	0.032867	2.12337e-05	0.0328457	4.76431e-08	3.13442e+06	2025	3.13239e+06	4.54358	
8	0.0550386	5.43584e-05	0.0549842	4.74954e-08	5.24886e+06	5184	5.24367e+06	4.52948	
9	0.0686933	8.30581e-05	0.0686102	4.61689e-08	6.55107e+06	7921	6.54315e+06	4.40298	
10	0.0218437	8.81857e-06	0.0218349	4.76022e-08	2.08317e+06	841	2.08233e+06	4.53967	
11	0.0188794	6.55363e-06	0.0188729	4.78703e-08	1.80047e+06	625	1.79985e+06	4.56524	
12	0.0139659	3.3974e-06	0.0139625	4.76949e-08	1.33188e+06	324	1.33156e+06	4.54851	
13	0.0215438	8.22088e-06	0.0215356	4.74866e-08	2.05457e+06	784	2.05378e+06	4.52865	
14	0.0885218	0.000148489	0.0883733	4.62462e-08	8.44205e+06	14161	8.42788e+06	4.41036	
15	0.0130581	3.0304e-06	0.0130551	4.78038e-08	1.24531e+06	289	1.24502e+06	4.5589	
16	0.0112667	2.3593e-06	0.0112643	4.78046e-08	1.07447e+06	225	1.07424e+06	4.55898	
17	0.0176553	5.54699e-06	0.0176497	4.77374e-08	1.68373e+06	529	1.6832e+06	4.55257	
18	0.0367905	2.41593e-05	0.0367663	4.78307e-08	3.5086e+06	2304	3.50629e+06	4.56146	
19	0.0121799	3.3974e-06	0.0121765	4.76023e-08	1.16156e+06	324	1.16124e+06	4.53968	
20	0.0123635	3.3974e-06	0.0123601	4.76141e-08	1.17907e+06	324	1.17875e+06	4.54081	
21	0.00762393	6.03983e-06	0.00761789	4.77365e-08	727071	576	726495	4.55249	
22	0.0203651	7.64416e-06	0.0203575	4.80372e-08	1.94216e+06	729	1.94143e+06	4.58116	
23	0.129533	0.000378538	0.129154	4.7508e-08	1.23531e+07	36100	1.2317e+07	4.53069	
24	0.022261	8.81857e-06	0.0222522	4.77699e-08	2.12296e+06	841	2.12212e+06	4.55567	
25	0.0113227	2.3593e-06	0.0113203	4.78905e-08	1.07981e+06	225	1.07959e+06	4.56717	
26	0.0167351	5.07513e-06	0.01673	4.76073e-08	1.59597e+06	484	1.59549e+06	4.54016	
27	0.0364341	2.41593e-05	0.03641	4.80668e-08	3.47461e+06	2304	3.47231e+06	4.58398	
28	0.0282	1.4355e-05	0.0281856	4.78659e-08	2.68934e+06	1369	2.68797e+06	4.56483	
29	0.0197017	7.08841e-06	0.0196946	4.79069e-08	1.87889e+06	676	1.87821e+06	4.56873	
30	0.0211959	8.22088e-06	0.0211877	4.79333e-08	2.02139e+06	784	2.02061e+06	4.57125	
31	0.012961	3.0304e-06	0.0129579	4.76071e-08	1.23605e+06	289	1.23576e+06	4.54014	
32	0.0205645	1.07374e-05	0.0205538	4.77099e-08	1.96117e+06	1024	1.96015e+06	4.54994	
33	0.0114359	3.0304e-06	0.0114329	4.76482e-08	1.09061e+06	289	1.09032e+06	4.54406	
34	0.0296876	2.03005e-05	0.0296673	4.7046e-08	2.83121e+06	1936	2.82928e+06	4.48663	
35	0.0137306	4.19432e-06	0.0137264	4.75824e-08	1.30944e+06	400	1.30904e+06	4.53778	
36	0.0124314	3.0304e-06	0.0124283	4.77461e-08	1.18554e+06	289	1.18525e+06	4.5534	
37	0.0907805	0.000171799	0.0906087	4.65552e-08	8.65745e+06	16384	8.64107e+06	4.43983	
38	0.133307	0.000554699	0.132753	4.83708e-08	1.27131e+07	52900	1.26602e+07	4.61297	
39	0.0141892	4.62424e-06	0.0141846	4.7804e-08	1.35318e+06	441	1.35274e+06	4.55892	
40	0.0196013	9.43723e-06	0.0195918	4.7917e-08	1.86931e+06	900	1.86841e+06	4.56969	
41	0.0183818	7.64416e-06	0.0183741	4.74607e-08	1.75301e+06	729	1.75228e+06	4.52618	
42	0.0114778	3.0304e-06	0.0114747	4.77951e-08	1.0946e+06	289	1.09431e+06	4.55807	
43	0.0129604	5.07513e-06	0.0129553	4.77623e-08	1.23599e+06	484	1.23551e+06	4.55495	
44	0.0277557	1.51415e-05	0.0277406	4.75605e-08	2.64698e+06	1444	2.64553e+06	4.53569	
45	0.0125492	3.78538e-06	0.0125454	4.76424e-08	1.19677e+06	361	1.19641e+06	4.54351	
46	0.0101738	2.3593e-06	0.0101714	4.76902e-08	970248	225	970023	4.54807	
47	0.0709636	0.000148489	0.0708151	4.85762e-08	6.76758e+06	14161	6.75342e+06	4.63256	
48	0.0101875	3.0304e-06	0.0101844	4.78947e-08	971552	289	971263	4.56756	
49	0.0872083	0.000161229	0.0870471	4.78943e-08	8.31678e+06	15376	8.30141e+06	4.56753	
50	0.0277611	1.51415e-05	0.0277459	4.75015e-08	2.64749e+06	1444	2.64604e+06	4.53007	
51	0.0394797	3.77489e-05	0.0394419	4.72044e-08	3.76505e+06	3600	3.76145e+06	4.50173	
52	0.0115744	2.68436e-06	0.0115717	4.77838e-08	1.10382e+06	256	1.10356e+06	4.55699	
53	0.0193993	1.07374e-05	0.0193885	4.80737e-08	1.85005e+06	1024	1.84902e+06	4.58464	
54	0.0122887	3.0304e-06	0.0122856	4.77759e-08	1.17193e+06	289	1.17164e+06	4.55624	
55	1.09354	0.0228132	1.07072	4.28893e-08	1.04287e+08	2.17562e+06	1.02112e+08	4.09022	
56	0.00738885	5.54699e-06	0.00738331	4.77424e-08	704652	529	704123	4.55305	
57	0.0109474	3.3974e-06	0.010944	4.78144e-08	1.04402e+06	324	1.04369e+06	4.55991	
58	0.0115521	3.0304e-06	0.011549	4.77899e-08	1.10168e+06	289	1.1014e+06	4.55757	
59	0.0652412	0.000102771	0.0651384	4.77268e-08	6.22185e+06	9801	6.21205e+06	4.55156	
60	0.0117291	2.68436e-06	0.0117264	4.78362e-08	1.11857e+06	256	1.11831e+06	4.56199	
61	0.023305	1.07374e-05	0.0232942	4.76628e-08	2.22252e+06	1024	2.2215e+06	4.54545	
62	3.41761	0.211395	3.20622	5.38623e-08	3.25927e+08	2.01601e+07	3.05767e+08	5.13668	
63	0.181221	0.000644919	0.180576	4.85866e-08	1.72825e+07	61504	1.7221e+07	4.63356	
64	0.0115674	3.0304e-06	0.0115644	4.74609e-08	1.10315e+06	289	1.10286e+06	4.5262	
65	0.0144002	4.19432e-06	0.014396	4.78693e-08	1.3733e+06	400	1.3729e+06	4.56515	
66	0.0092517	2.3593e-06	0.00924934	4.7811e-08	882306	225	882081	4.55959	
67	0.366629	0.00313745	0.363491	4.56655e-08	3.49642e+07	299209	3.4665e+07	4.35498	
68	0.0305309	1.93882e-05	0.0305115	4.8055e-08	2.91164e+06	1849	2.90979e+06	4.58286	
69	0.0116282	1.35896e-05	0.0116146	4.7628e-08	1.10894e+06	1296	1.10765e+06	4.54213	
70	0.00789009	2.3593e-06	0.00788773	4.77015e-08	752453	225	752228	4.54915	
71	0.0141291	4.19432e-06	0.0141249	4.75904e-08	1.34745e+06	400	1.34705e+06	4.53855	
72	0.0170109	6.55363e-06	0.0170043	4.78477e-08	1.62227e+06	625	1.62165e+06	4.56309	
73	0.00904351	3.0304e-06	0.00904048	4.74599e-08	862451	289	862162	4.5261	
